Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Rua Poeta José Salles de Campos, 260 - Coroa do Meio, Aracaju - SE",520,4,7,4,2200000
"Rua Francisco Rabelo Leite Neto - Atalaia, Aracaju - SE",340,5,5,3,870000
"Rua Pina Ramos, 6 - Luzia, Aracaju - SE",160,3,3,1,280000
"Rua F, 176 - Aruana, Aracaju - SE",325,3,3,3,360000
"Rua B, 13 - Jabotiana, Aracaju - SE",80,3,1,1,279000
"Rua Geraldo dos Santos Filho, 112 - Aruana, Aracaju - SE",220,4,2,4,320000
"Rua Jordão de Oliveira - Atalaia, Aracaju - SE",105,2,2,1,310135
"Rua Aloísio Campos, 41 - Atalaia, Aracaju - SE",300,5,6,6,1300000
"Avenida Conselheiro João Moreira Filho, 300 - Atalaia, Aracaju - SE",500,4,5,3,1000000
"Rua E, 103 - Aeroporto, Aracaju - SE",133,3,1,2,400000
"Rua Seis, 0 - Soledade, Aracaju - SE",160,3,1, -- ,180000
"Rua Laranjeiras, 1 - Centro, Aracaju - SE",98,2,1,1,145000
"Rua Sergipe, 919 - Siqueira Campos, Aracaju - SE",166,5,4,3,400056
"Rua Delmiro Gouveia, 141 - Coroa do Meio, Aracaju - SE",414,5,5,3,1350000
"Rua Orlando Tavares Macedo, 147 - Aruana, Aracaju - SE",280,4,5,2,750000
"Rua F - Aruana, Aracaju - SE",100,3,1,2,580000
"Via Formosa, 10 - Aruana, Aracaju - SE",120,3,2,2,390000
"Avenida Inácio Barbosa, 11650 - Mosqueiro, Aracaju - SE",110,3,2,4,400000
"Rua Maria Auxiliadora de Lima Oliveira, 67 - Zona de Expans aruanda, Aracaju - SE",180,3,2,2,475200
"Avenida José Vicente de Almeida, 259 - Zona de Expansao Aruana, Aracaju - SE",197,4,4,2,840000
"Avenida Fábio José Cardoso Ramos, 1 - Aeroporto, Aracaju - SE",140,3,3,3,350000
"Rua Renato Fonseca de Oliveira - Coroa do Meio, Aracaju - SE",1890,4,4,4,1890182
"Avenida Conselheiro João Moreira Filho - Coroa do Meio, Aracaju - SE",552,5,4,4,800000
"Rua Jornalista Fernando Souza, 100 - Aeroporto, Aracaju - SE",300,3,2,2,349990
"Avenida Doutor José Domingos Maia, 207 - Mosqueiro, Aracaju - SE",480,5,5,5,1750000
"Rua João Ribeiro de Almeida, 328 - Zona de Expansao Robalo, Aracaju - SE",190,3,2,2,195000
"Avenida Conselheiro João Moreira Filho, 280 - Atalaia, Aracaju - SE",552,5,6,3,800000
"Rua Temístocles Diniz Gonçalves, 102 - Jabotiana, Aracaju - SE",250,3,1,2,350000
"Rua Vanira Bispo da Luz, 83 - Aeroporto, Aracaju - SE",120,3,1,2,400000
"Avenida Silvério Leite Fontes, 85 - Aruana, Aracaju - SE",180,2,1,2,199000
"Rua Promotora Maria Anamira Amado Batalha Neta - 17 de Marco, Aracaju - SE",171,3,3,4,550141
"Rua Jordão de Oliveira - Atalaia, Aracaju - SE",105,2,2,1,310186
"Rua Jonaldo Bonfim, 720 - Santos Dumont, Aracaju - SE",160,3,2, -- ,295000
"Rodovia dos Náufragos - Zona de Expansao Mosqueiro, Aracaju - SE",256,4,6,2,680000
"Rua Temístocles Diniz Gonçalves, 102 - Jabotiana, Aracaju - SE",200,3,4,2,380000
"Rua Paulo César Novais, 116 - Jabotiana, Aracaju - SE",330,3,3,2,420000
"Rua Campo do Brito - Salgado Filho, Aracaju - SE",300,3,4,"
                  5
                ","
850016
"
"Aruana, Aracaju - SE",200,3,3,"
                  2
                ","
330000
"
"Rua Bahia, 1674 - Siqueira Campos, Aracaju - SE",125,3,2,"
                  1
                ","
260000

Preçoabaixodomercado

"
"Farolândia, Aracaju - SE",300,3,4,"
                  2
                ","
580000
"
"Rua C, 10 - Zona de Expansao Areia Branca, Aracaju - SE",265,5,3,"
                  6
                ","
2550000
"
"Rua Juarez Oliveira Leal, 319 - São Conrado, Aracaju - SE",125,3,3,"
                  1
                ","
270000
"
"Rua Maria Vasconcelos de Andrade, 1 - Aruana, Aracaju - SE",110,3,2,"
                  2
                ","
389000
"
