beds,baths,area,price,county
2.0,2.0,105.25826830174657,1800000, The Lagoons
2.0,3.0,130.06317354143442,1125000, Motor City
3.0,4.0,360.46079524340394,3600000, Dubai Marina
0.6,1.0,34.838350055741365,405000, Jumeirah Village Circle (JVC)
3.0,4.0,145.85655890003716,2100000, Business Bay
5.0,6.0,659.9777034559644,9690888, Dubai Hills Estate
3.0,5.0,185.8045336306206,1680000, Serena
2.0,3.0,286.13898179115574,1450000, The Springs
1.0,2.0,79.15273132664437,809742, Jumeirah Village Circle (JVC)
3.0,5.0,195.46636937941287,5050000, Bluewaters Island
3.0,4.0,413.04347826086956,3199999, Motor City
1.0,2.0,83.8907469342252,700000, Jumeirah Village Circle (JVC)
3.0,3.0,208.65849126718695,1875000, The Springs
4.0,5.0,319.3979933110368,3370000, Jumeirah Golf Estate
5.0,5.0,458.1010776662951,6500000, The Meadows
2.0,3.0,232.06986250464513,2199999, Palm Jumeirah
2.0,3.0,102.19249349684132,950000, The Views
2.0,3.0,156.0758082497213,1250000, Jumeirah Lake Towers (JLT)
6.0,7.0,429.3942772203642,6336888, Arabian Ranches
0.6,1.0,54.905239687848386,530000, Dubai Sports City
3.0,4.0,230.9550353028614,1600000, Jumeirah Lake Towers (JLT)
5.0,6.0,2055.927164622817,54000000, Emirates Hills
2.0,4.0,182.55295429208473,1700000, Jumeirah Lake Towers (JLT)
4.0,4.0,607.9524340393906,3850000, Arabian Ranches 2
4.0,5.0,523.5971757710888,6999999, Mohammad Bin Rashid City
6.0,7.0,989.4091415830546,12500000, Jumeirah Golf Estate
1.0,1.0,60.38647342995169,380000, Al Warsan
3.0,5.0,252.97287253808994,1900000, DAMAC Hills (Akoya by DAMAC)
5.0,5.0,576.9230769230769,3400000, Green Community
3.0,3.0,213.67521367521368,775000, Dubai Industrial Park
0.6,1.0,44.77889260497957,590000, Business Bay
1.0,2.0,82.49721293199555,577362, Jumeirah Village Circle (JVC)
2.0,2.0,106.46599777034561,1123828, Jumeirah Village Circle (JVC)
2.0,3.0,239.9665551839465,1700000, Jumeirah Village Triangle (JVT)
2.0,3.0,171.3117800074322,2150000, Dubai Festival City
3.0,4.0,248.792270531401,1500000, Dubai Silicon Oasis
2.0,4.0,157.00483091787441,1390000, Jumeirah Lake Towers (JLT)
1.0,2.0,40.22668153102936,604000, DAMAC Hills (Akoya by DAMAC)
3.0,4.0,204.19918246005204,3488000, Umm Suqeim
1.0,2.0,75.06503158677071,1386000, Business Bay
1.0,2.0,87.69973987365292,950000, Jumeirah Village Circle (JVC)
0.6,1.0,38.275733927907844,675000, Dubai Marina
4.0,4.0,353.77183203270164,2700000, Mudon
3.0,4.0,216.36937941285768,2300000, Dubai Festival City
0.6,1.0,37.34671125975474,320000, Remraam
1.0,2.0,93.83128948346341,808412, Dubai Residence Complex
3.0,4.0,249.8141954663694,1650000, Wasl Gate
3.0,3.0,485.78595317725757,2800000, The Springs
0.6,1.0,43.84986993682646,340000, Dubai Silicon Oasis
5.0,6.0,506.5031586770717,13999000, Jumeirah Islands
1.0,1.0,76.08695652173914,1500000, The Views
2.0,3.0,144.3701226309922,1800000, Dubai Marina
2.0,3.0,121.7019695280565,1000000, Dubai Silicon Oasis
1.0,2.0,117.98587885544408,1120000, Jumeirah Village Circle (JVC)
2.0,3.0,171.12597547380156,8503600, Palm Jumeirah
1.0,1.0,74.32181345224824,470000, Downtown Jebel Ali
1.0,2.0,62.80193236714976,665000, Jumeirah Village Circle (JVC)
2.0,2.0,208.19397993311037,8980000, Jumeirah
2.0,2.0,87.79264214046823,968888, Town Square
3.0,2.0,176.049795615013,3050000, Old Town
3.0,4.0,178.00074321813455,1400000, Al Furjan
2.0,3.0,125.4180602006689,966000, Dubai Silicon Oasis
2.0,4.0,158.02675585284283,1300000, DAMAC Hills (Akoya by DAMAC)
1.0,2.0,179.85878855444074,1150000, Jumeirah Village Circle (JVC)
1.0,2.0,70.69862504645114,711000, Jumeirah Village Circle (JVC)
2.0,2.0,122.90969899665552,1590246, Business Bay
3.0,4.0,224.73058342623563,1799999, Al Furjan
2.0,3.0,61.40839836492011,675000, Dubai South
3.0,4.0,151.61649944258642,2849888, The Lagoons
2.0,3.0,278.24228911185435,1650000, Jumeirah Village Triangle (JVT)
2.0,3.0,95.96804162021554,1198888, Dubai Hills Estate
3.0,4.0,220.27127461910072,1295000, Dubai South
1.0,2.0,91.60163507989596,675000, Dubai Sports City
3.0,2.0,134.70828688219993,1000000, Town Square
2.0,3.0,68.09736157562244,900000, DAMAC Hills (Akoya by DAMAC)
3.0,4.0,344.2028985507247,4430000, Jumeirah
3.0,4.0,289.204756596061,4199999, Dubai Festival City
0.6,1.0,29.728725380899295,454888, Town Square
3.0,4.0,185.99033816425123,3331200, Business Bay
2.0,3.0,183.57487922705315,2500000, Dubai Marina
2.0,3.0,155.79710144927537,1150000, Dubai Marina
2.0,3.0,187.7554812337421,540000, Dubailand
1.0,2.0,67.6328502415459,675000, Jumeirah Village Circle (JVC)
0.6,1.0,39.01895206243032,369000, Jumeirah Village Circle (JVC)
2.0,3.0,179.95169082125605,1800000, Dubai Marina
1.0,2.0,90.95131921218878,660000, Jumeirah Lake Towers (JLT)
3.0,3.0,238.2943143812709,1772888, Reem
2.0,2.0,68.93348197696024,1008888, Dubai Hills Estate
3.0,4.0,242.84652545522113,1999999, Dubai Marina
1.0,1.0,61.68710516536604,675000, The Greens
2.0,3.0,232.06986250464513,1949000, Palm Jumeirah
1.0,1.0,75.7153474544779,650000, Arjan
0.6,1.0,69.58379784466742,454509, Jumeirah Village Circle (JVC)
2.0,3.0,104.97956150130064,750000, Dubai World Central
0.6,1.0,57.13489409141583,839000, Business Bay
1.0,2.0,56.20587142326273,596000, Jumeirah Village Circle (JVC)
5.0,5.0,693.2367149758454,10500000, Al Barari
4.0,4.0,240.61687105165367,5790000, Jumeirah Beach Residence (JBR)
2.0,2.0,80.54626532887403,843000, Town Square
2.0,3.0,157.00483091787441,1300000, The Springs
0.6,1.0,37.34671125975474,499999, Business Bay
1.0,2.0,59.45745076179859,1250000, Jumeirah Beach Residence (JBR)
1.0,2.0,59.36454849498328,1540000, Jumeirah Beach Residence (JBR)
4.0,5.0,241.54589371980677,2800000, Umm Suqeim
2.0,2.0,189.89223337049424,1670000, Jumeirah Lake Towers (JLT)
2.0,3.0,171.12597547380156,8503600, Palm Jumeirah
3.0,4.0,190.82125603864736,1300000, Town Square
1.0,2.0,79.05982905982907,485000, Discovery Gardens
1.0,1.0,71.81345224823487,575000, Dubai World Central
1.0,1.0,76.17985878855444,675000, Dubai Marina
5.0,6.0,498.6993682645857,6464888, Arabian Ranches 2
4.0,4.0,287.99702712746193,4550000, The Lakes
1.0,2.0,66.98253437383873,335000, International City
4.0,4.0,492.3820141211446,4300000, Jumeirah Islands
3.0,4.0,278.7068004459309,2590000, Mudon
2.0,3.0,115.19881085098477,1800000, Business Bay
0.6,1.0,36.13898179115571,514000, Al Furjan
4.0,6.0,297.5659606094389,5700000, The Hills
1.0,1.0,61.96581196581197,615000, Liwan
6.0,6.0,769.7881828316612,12000000, Dubai Hills Estate
5.0,5.0,565.5890003716091,5550000, Arabian Ranches
4.0,3.0,373.2813080639168,3300000, The Meadows
1.0,2.0,69.30509104422148,800000, Downtown Jebel Ali
3.0,4.0,203.7346711259755,1800000, Arabian Ranches 2
1.0,2.0,85.00557413600892,725000, DAMAC Hills (Akoya by DAMAC)
3.0,6.0,360.9253065774805,3000000, Dubai Marina
3.0,5.0,373.74581939799333,2600000, Dubai Marina
7.0,7.0,2765.9791898922335,38000000, Dubai Hills Estate
1.0,2.0,87.14232627276107,1300000, Old Town
5.0,5.0,506.9676700111483,4800000, Arabian Ranches 2
0.6,1.0,43.19955406911929,480000, Al Furjan
4.0,4.0,361.11111111111114,3388888, Dubai Marina
1.0,2.0,75.43664065403196,1338900, Business Bay
3.0,4.0,219.8996655518395,1430000, Dubailand
1.0,2.0,57.227796358231146,810000, DAMAC Hills (Akoya by DAMAC)
0.6,1.0,31.40096618357488,439888, Town Square
2.0,2.0,87.5139353400223,750000, Town Square
2.0,4.0,119.93682645856559,1625000, Dubai Marina
2.0,3.0,128.29803047194352,1500000, Jumeirah Beach Residence (JBR)
2.0,3.0,113.24786324786325,890000, Dubai Marina
2.0,3.0,92.53065774804905,1437888, Dubai Hills Estate
3.0,4.0,136.2876254180602,1049990, Downtown Jebel Ali
2.0,3.0,134.70828688219993,840000, Dubai Sports City
3.0,4.0,155.1467855815682,2781888, Mina Rashid
2.0,2.0,131.54960981047938,2130000, The Greens
2.0,2.0,100.33444816053512,1230000, Jumeirah Lake Towers (JLT)
0.6,1.0,49.238201412114456,750000, Business Bay
2.0,3.0,148.8294314381271,2698698, DIFC
2.0,3.0,124.76774433296173,900000, Jumeirah Village Circle (JVC)
6.0,6.0,769.7881828316612,12400000, Dubai Hills Estate
0.6,1.0,34.74544778892605,570000, Arjan
3.0,4.0,308.80713489409146,3050000, Arabian Ranches
4.0,4.0,271.27461910070605,2500000, Dubai Marina
1.0,2.0,83.61204013377927,2985000, Palm Jumeirah
3.0,4.0,180.13749535488668,1104090, Dubai Silicon Oasis
2.0,2.0,118.26458565589002,875000, Jumeirah Lake Towers (JLT)
3.0,4.0,260.12634708286885,2490000, DAMAC Hills (Akoya by DAMAC)
2.0,2.0,122.07357859531773,1200000, Jumeirah Lake Towers (JLT)
5.0,5.0,640.0037160906727,9585888, Dubai Hills Estate
2.0,3.0,135.91601635079897,1599999, Culture Village
1.0,2.0,74.7863247863248,780000, Jumeirah Lake Towers (JLT)
2.0,3.0,143.99851356373097,1350000, Barsha Heights (Tecom)
4.0,6.0,372.5380899293943,4400000, Jumeirah Golf Estate
1.0,2.0,83.33333333333334,1000000, Business Bay
3.0,3.0,172.79821627647715,2000000, Business Bay
3.0,3.0,179.6729840208101,1331888, Arabian Ranches 3
0.6,1.0,44.871794871794876,544000, Al Furjan
3.0,3.0,159.88480118914902,1000000, Akoya Oxygen
2.0,2.0,242.6607209215905,2900000, Al Barari
0.6,1.0,56.76328502415459,369000, Al Quoz
2.0,3.0,182.64585655890005,1900000, Business Bay
1.0,2.0,73.0211817168339,600000, Dubai Marina
2.0,2.0,83.79784466740989,850000, Jumeirah Golf Estate
5.0,7.0,482.627276105537,4999999, DAMAC Hills (Akoya by DAMAC)
3.0,4.0,351.35637309550356,9000000, Culture Village
2.0,3.0,89.55778520995914,999000, Dubai South
4.0,4.0,368.8219992567819,4200000, The Meadows
1.0,2.0,88.16425120772948,790000, DAMAC Hills (Akoya by DAMAC)
